House price,GDP per capita (current US$),population
135311.717,3831174.597,128117042
137147.6349,3987456.754,128105431
137377.1591,3987456.754,128105431
138203.2808,3987456.754,128105431
138019.7441,3987456.754,128105431
138295.118,3995800.58,128007257
137652.533,3995800.58,128007257
138524.6421,3995800.58,128007257
136642.7368,3995800.58,128007257
137606.6832,4057207.51,127853688
136137.8388,4057207.51,127853688
136505.0499,4057207.51,127853688
136046.0016,4057207.51,127853688
136964.0982,4144533.67,127678924
138478.6547,4144533.67,127678924
139901.6494,4144533.67,127678924
139855.6619,4144533.67,127678924
141186.8194,4162329.516,127476735
140544.2344,4162329.516,127476735
141416.3436,4162329.516,127476735
140681.9213,4162329.516,127476735
144537.4314,4231776.532,127250933
144078.5208,4231776.532,127250933
145455.3904,4231776.532,127250933
143435.7981,4231776.532,127250933
146878.385,4265857.687,126993857
148347.0918,4265857.687,126993857
148025.8681,4265857.687,126993857
147061.9218,4265857.687,126993857
152615.8005,4340877.563,126662472
151330.6304,4340877.563,126662472
151651.8541,4340877.563,126662472
149724.099,4340877.563,126662472
154956.6164,4374353.042,126255866
154222.1942,4374353.042,126255866
154359.8811,4374353.042,126255866
153487.9096,4374353.042,126255866
158536.7526,4362884.765,125791677
157205.7328,4362884.765,125791677
156287.7738,4362884.765,125791677
154956.6164,4362884.765,125791677
157848.3178,4188518.504,125244761
156104.0994,4188518.504,125244761
156104.0994,4188518.504,125244761
157389.2695,4188518.504,125244761
163126.6849,4297980.255,124612530
164641.3791,4297980.255,124612530
168818.2505,4297980.255,124612530
168129.8158,4297980.255,124612530
177906.4157,4361506.078,123951692
179788.1833,4361506.078,123951692
182083.2871,4361506.078,123951692
180797.9794,4361506.078,123951692
