"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.27, 2023"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation"
"2020100000","2020","08000","Ibaraki-ken","","2,867,009",""
"2020100000","2020","09000","Tochigi-ken","","1,933,146",""
"2020100000","2020","10000","Gumma-ken","","1,939,110",""
"2020100000","2020","11000","Saitama-ken","","7,344,765",""
"2020100000","2020","12000","Chiba-ken","","6,284,480",""
"2020100000","2020","13000","Tokyo-to","","14,047,594",""
"2020100000","2020","14000","Kanagawa-ken","","9,237,337",""
"2020100000","2020","15000","Niigata-ken","","2,201,272",""
"2020100000","2020","16000","Toyama-ken","","1,034,814",""
"2020100000","2020","17000","Ishikawa-ken","","1,132,526",""
"2020100000","2020","18000","Fukui-ken","","766,863",""
"2020100000","2020","19000","Yamanashi-ken","","809,974",""
"2020100000","2020","20000","Nagano-ken","","2,048,011",""
"2020100000","2020","21000","Gifu-ken","","1,978,742",""
"2020100000","2020","22000","Shizuoka-ken","","3,633,202",""
"2020100000","2020","23000","Aichi-ken","","7,542,415",""
"2020100000","2020","24000","Mie-ken","","1,770,254",""
"2020100000","2020","25000","Shiga-ken","","1,413,610",""
"2020100000","2020","26000","Kyoto-fu","","2,578,087",""
"2020100000","2020","27000","Osaka-fu","","8,837,685",""
"2020100000","2020","28000","Hyogo-ken","","5,465,002",""
"2020100000","2020","29000","Nara-ken","","1,324,473",""
"2020100000","2020","30000","Wakayama-ken","","922,584",""
"2020100000","2020","31000","Tottori-ken","","553,407",""
"2020100000","2020","32000","Shimane-ken","","671,126",""
"2020100000","2020","33000","Okayama-ken","","1,888,432",""
"2020100000","2020","34000","Hiroshima-ken","","2,799,702",""
"2020100000","2020","35000","Yamaguchi-ken","","1,342,059",""
"2020100000","2020","36000","Tokushima-ken","","719,559",""
"2020100000","2020","37000","Kagawa-ken","","950,244",""
"2020100000","2020","38000","Ehime-ken","","1,334,841",""
"2020100000","2020","39000","Kochi-ken","","691,527",""
"2020100000","2020","40000","Fukuoka-ken","","5,135,214",""
"2020100000","2020","41000","Saga-ken","","811,442",""
"2020100000","2020","42000","Nagasaki-ken","","1,312,317",""
"2020100000","2020","43000","Kumamoto-ken","","1,738,301",""
"2020100000","2020","44000","Oita-ken","","1,123,852",""
"2020100000","2020","45000","Miyazaki-ken","","1,069,576",""
"2020100000","2020","46000","Kagoshima-ken","","1,588,256",""
"2020100000","2020","47000","Okinawa-ken","","1,467,480",""
"2019100000","2019","01000","Hokkaido","","5,259,000",""
"2019100000","2019","02000","Aomori-ken","","1,253,000",""
"2019100000","2019","03000","Iwate-ken","","1,226,000",""
"2019100000","2019","04000","Miyagi-ken","","2,312,000",""
"2019100000","2019","05000","Akita-ken","","972,000",""
"2019100000","2019","06000","Yamagata-ken","","1,080,000",""
"2019100000","2019","07000","Fukushima-ken","","1,852,000",""
"2019100000","2019","08000","Ibaraki-ken","","2,879,000",""
"2019100000","2019","09000","Tochigi-ken","","1,943,000",""
"2019100000","2019","10000","Gumma-ken","","1,949,000",""
"2019100000","2019","11000","Saitama-ken","","7,342,000",""
"2019100000","2019","12000","Chiba-ken","","6,283,000",""
"2019100000","2019","13000","Tokyo-to","","14,007,000",""
"2019100000","2019","14000","Kanagawa-ken","","9,224,000",""
"2019100000","2019","15000","Niigata-ken","","2,224,000",""
"2019100000","2019","16000","Toyama-ken","","1,043,000",""
"2019100000","2019","17000","Ishikawa-ken","","1,139,000",""
"2019100000","2019","18000","Fukui-ken","","771,000",""
"2019100000","2019","19000","Yamanashi-ken","","815,000",""
"2019100000","2019","20000","Nagano-ken","","2,061,000",""
"2019100000","2019","21000","Gifu-ken","","1,992,000",""
"2019100000","2019","22000","Shizuoka-ken","","3,653,000",""
"2019100000","2019","23000","Aichi-ken","","7,557,000",""
"2019100000","2019","24000","Mie-ken","","1,783,000",""
"2019100000","2019","25000","Shiga-ken","","1,416,000",""
"2019100000","2019","26000","Kyoto-fu","","2,592,000",""
"2019100000","2019","27000","Osaka-fu","","8,842,000",""
"2019100000","2019","28000","Hyogo-ken","","5,488,000",""
"2019100000","2019","29000","Nara-ken","","1,333,000",""
"2019100000","2019","30000","Wakayama-ken","","931,000",""
"2019100000","2019","31000","Tottori-ken","","557,000",""
"2019100000","2019","32000","Shimane-ken","","677,000",""
"2019100000","2019","33000","Okayama-ken","","1,897,000",""
"2019100000","2019","34000","Hiroshima-ken","","2,813,000",""
"2019100000","2019","35000","Yamaguchi-ken","","1,357,000",""
"2019100000","2019","36000","Tokushima-ken","","728,000",""
"2019100000","2019","37000","Kagawa-ken","","958,000",""
"2019100000","2019","38000","Ehime-ken","","1,346,000",""
"2019100000","2019","39000","Kochi-ken","","699,000",""
"2019100000","2019","40000","Fukuoka-ken","","5,134,000",""
"2019100000","2019","41000","Saga-ken","","817,000",""
"2019100000","2019","42000","Nagasaki-ken","","1,327,000",""
"2019100000","2019","43000","Kumamoto-ken","","1,749,000",""
"2019100000","2019","44000","Oita-ken","","1,134,000",""
"2019100000","2019","45000","Miyazaki-ken","","1,077,000",""
"2019100000","2019","46000","Kagoshima-ken","","1,602,000",""
"2019100000","2019","47000","Okinawa-ken","","1,462,000",""
"2018100000","2018","01000","Hokkaido","","5,293,000",""
"2018100000","2018","02000","Aomori-ken","","1,268,000",""
"2018100000","2018","03000","Iwate-ken","","1,240,000",""
"2018100000","2018","04000","Miyagi-ken","","2,320,000",""
"2018100000","2018","05000","Akita-ken","","985,000",""
"2018100000","2018","06000","Yamagata-ken","","1,092,000",""
"2018100000","2018","07000","Fukushima-ken","","1,869,000",""
"2018100000","2018","08000","Ibaraki-ken","","2,892,000",""
"2018100000","2018","09000","Tochigi-ken","","1,953,000",""
"2018100000","2018","10000","Gumma-ken","","1,957,000",""
"2018100000","2018","11000","Saitama-ken","","7,325,000",""
"2018100000","2018","12000","Chiba-ken","","6,273,000",""
"2018100000","2018","13000","Tokyo-to","","13,887,000",""
"2018100000","2018","14000","Kanagawa-ken","","9,197,000",""
"2018100000","2018","15000","Niigata-ken","","2,246,000",""
"2018100000","2018","16000","Toyama-ken","","1,050,000",""
"2018100000","2018","17000","Ishikawa-ken","","1,145,000",""
"2018100000","2018","18000","Fukui-ken","","777,000",""
"2018100000","2018","19000","Yamanashi-ken","","821,000",""
"2018100000","2018","20000","Nagano-ken","","2,073,000",""
"2018100000","2018","21000","Gifu-ken","","2,001,000",""
"2018100000","2018","22000","Shizuoka-ken","","3,667,000",""
"2018100000","2018","23000","Aichi-ken","","7,541,000",""
"2018100000","2018","24000","Mie-ken","","1,793,000",""
"2018100000","2018","25000","Shiga-ken","","1,414,000",""
"2018100000","2018","26000","Kyoto-fu","","2,598,000",""
"2018100000","2018","27000","Osaka-fu","","8,838,000",""
"2018100000","2018","28000","Hyogo-ken","","5,501,000",""
"2018100000","2018","29000","Nara-ken","","1,341,000",""
"2018100000","2018","30000","Wakayama-ken","","940,000",""
"2018100000","2018","31000","Tottori-ken","","562,000",""
"2018100000","2018","32000","Shimane-ken","","682,000",""
"2018100000","2018","33000","Okayama-ken","","1,904,000",""
"2018100000","2018","34000","Hiroshima-ken","","2,824,000",""
"2018100000","2018","35000","Yamaguchi-ken","","1,369,000",""
"2018100000","2018","36000","Tokushima-ken","","736,000",""
"2018100000","2018","37000","Kagawa-ken","","963,000",""
"2018100000","2018","38000","Ehime-ken","","1,357,000",""
"2018100000","2018","39000","Kochi-ken","","707,000",""
"2018100000","2018","40000","Fukuoka-ken","","5,131,000",""
"2018100000","2018","41000","Saga-ken","","821,000",""
"2018100000","2018","42000","Nagasaki-ken","","1,341,000",""
"2018100000","2018","43000","Kumamoto-ken","","1,759,000",""
"2018100000","2018","44000","Oita-ken","","1,143,000",""
"2018100000","2018","45000","Miyazaki-ken","","1,084,000",""
"2018100000","2018","46000","Kagoshima-ken","","1,614,000",""
"2018100000","2018","47000","Okinawa-ken","","1,454,000",""
"2017100000","2017","01000","Hokkaido","","5,325,000",""
"2017100000","2017","02000","Aomori-ken","","1,282,000",""
"2017100000","2017","03000","Iwate-ken","","1,254,000",""
"2017100000","2017","04000","Miyagi-ken","","2,326,000",""
"2017100000","2017","05000","Akita-ken","","999,000",""
"2017100000","2017","06000","Yamagata-ken","","1,103,000",""
"2017100000","2017","07000","Fukushima-ken","","1,886,000",""
