DATE,QJPN628BIS
1955-01-01,3044.9470031905
1955-04-01,3137.1972628395
1955-07-01,3230.4113311714004
1955-10-01,3349.5105469869
1956-01-01,3468.6097628024
1956-04-01,3667.2920384345
1956-07-01,3865.8366271119
1956-10-01,4123.9996671744
1957-01-01,4382.1627072369
1957-04-01,4612.51298245
1957-07-01,4845.4793098024
1957-10-01,5116.8602975161
1958-01-01,5388.3789721845
1958-04-01,5710.8418200919
1958-07-01,6037.0222157762
1958-10-01,6354.8037072238
1959-01-01,6672.5851986714
1959-04-01,7067.471384751
1959-07-01,7466.901240335699
1959-10-01,7837.5545223881
1960-01-01,8208.207804440499
1960-04-01,8823.943865858899
1960-07-01,9439.5422403226
1960-10-01,10372.922106233898
1961-01-01,11306.164285190498
1961-04-01,12194.933577778998
1961-07-01,13093.4786441512
1961-10-01,13695.859070963701
1962-01-01,14298.239497776201
1962-04-01,14890.7064638503
1962-07-01,15489.782403750001
1962-10-01,16019.326431526202
1963-01-01,16548.8704593024
1963-04-01,17075.5230610299
1963-07-01,17608.0962018095
1963-10-01,18203.8676547964
1964-01-01,18799.6391077833
1964-04-01,19461.500299026204
1964-07-01,20123.4991772238
1964-10-01,20851.5877936774
1965-01-01,21579.814097085702
1965-04-01,21843.071554472102
1965-07-01,22109.358124861898
1965-10-01,22506.584989171402
1966-01-01,22903.674166526198
1966-04-01,23364.5124039071
1966-07-01,23830.445058611902
1966-10-01,24492.443936809497
1967-01-01,25154.3051280524
1967-04-01,26141.795967160797
1967-07-01,27140.164075690504
1967-10-01,28265.6172434083
1968-01-01,29390.9327241714
1968-04-01,30648.5653684012
1968-07-01,31906.335699585703
1968-10-01,33494.9677829143
1969-01-01,35083.7375531976
1969-04-01,37058.5815444597
1969-07-01,39055.455448473804
1969-10-01,41041.3143961119
1970-01-01,43027.17334374999
1970-04-01,45002.1550219668
1970-07-01,46998.8912390262
1970-10-01,48852.433023197606
1971-01-01,50705.837120414304
1971-04-01,52549.190069937904
1971-07-01,54412.783001802396
1971-10-01,56200.0973607631
1972-01-01,57987.4117197238
1972-04-01,60569.0421203488
1972-07-01,63150.67252097381
1972-10-01,68975.9322004214
1973-01-01,74801.05419291431
1973-04-01,80923.30463364981
1973-07-01,87113.5724300071
